ID,First Name,Second Name,Full Name,Account Number,Email,Phone,Phone (Original),Active,Verified,Admin,Staff,Last Login,Created Date,Created Time,Created Full,Days Since Signup,Plan,Email Token Present
19,John,Omondi,John Omondi,500008,john.omondi192@gmail.com,+25475273575,'+25475273575',Yes,Yes,No,No,Never,2026-03-02,19:52:00,2026-03-02 19:52:00,8,None,Yes
20,Sarah,Kipchoge,Sarah Kipchoge,500009,sarah.kipchoge57@gmail.com,+25473238590,'+25473238590',Yes,Yes,No,No,Never,2026-03-02,19:52:00,2026-03-02 19:52:00,8,None,Yes
21,Sarah,Wanjiku,Sarah Wanjiku,500010,sarah.wanjiku760@gmail.com,+25474292351,'+25474292351',Yes,Yes,No,No,Never,2026-03-02,19:52:00,2026-03-02 19:52:00,8,None,Yes
22,Brenda,Mutua,Brenda Mutua,500011,brenda.mutua301@gmail.com,+25479171791,'+25479171791',Yes,Yes,No,No,Never,2026-03-02,19:52:00,2026-03-02 19:52:00,8,None,Yes
23,Irene,Omondi,Irene Omondi,500012,irene.omondi702@gmail.com,+25477345591,'+25477345591',Yes,Yes,No,No,Never,2026-03-02,19:52:00,2026-03-02 19:52:00,8,None,Yes
24,Irene,Chebet,Irene Chebet,500013,irene.chebet12@gmail.com,+25472961034,'+25472961034',Yes,Yes,No,No,Never,2026-03-02,19:52:01,2026-03-02 19:52:01,8,None,Yes
25,Sarah,Muli,Sarah Muli,500014,sarah.muli485@gmail.com,+25473886167,'+25473886167',Yes,Yes,No,No,Never,2026-03-02,19:52:01,2026-03-02 19:52:01,8,None,Yes
26,Lucy,Wekesa,Lucy Wekesa,500015,lucy.wekesa923@gmail.com,+25479723369,'+25479723369',Yes,Yes,No,No,Never,2026-03-02,19:52:01,2026-03-02 19:52:01,8,None,Yes
27,Caroline,Okoth,Caroline Okoth,500016,caroline.okoth473@gmail.com,+25477712724,'+25477712724',Yes,Yes,No,No,Never,2026-03-02,19:52:01,2026-03-02 19:52:01,8,None,Yes
28,Caroline,Mutua,Caroline Mutua,500017,caroline.mutua138@gmail.com,+25478290244,'+25478290244',Yes,Yes,No,No,Never,2026-03-02,19:52:01,2026-03-02 19:52:01,8,None,Yes
29,Peter,Omondi,Peter Omondi,500018,peter.omondi630@gmail.com,+25475257306,'+25475257306',Yes,Yes,No,No,Never,2026-03-02,19:52:01,2026-03-02 19:52:01,8,None,Yes
30,John,Njeri,John Njeri,500019,john.njeri424@gmail.com,+25472249482,'+25472249482',Yes,Yes,No,No,Never,2026-03-02,19:52:02,2026-03-02 19:52:02,8,None,Yes
31,Eric,Omondi,Eric Omondi,500020,eric.omondi1@gmail.com,+25479595085,'+25479595085',Yes,Yes,No,No,Never,2026-03-02,19:52:02,2026-03-02 19:52:02,8,None,Yes
32,Elizabeth,Wekesa,Elizabeth Wekesa,500021,elizabeth.wekesa132@gmail.com,+25478023801,'+25478023801',Yes,Yes,No,No,Never,2026-03-02,19:52:03,2026-03-02 19:52:03,8,None,Yes
33,Ann,Mwangi,Ann Mwangi,500022,ann.mwangi348@gmail.com,+25471331369,'+25471331369',Yes,Yes,No,No,Never,2026-03-02,19:52:03,2026-03-02 19:52:03,8,None,Yes
34,Patrick,Chebet,Patrick Chebet,500023,patrick.chebet46@gmail.com,+25476542485,'+25476542485',Yes,Yes,No,No,Never,2026-03-02,19:52:03,2026-03-02 19:52:03,8,None,Yes
35,Esther,Kariuki,Esther Kariuki,500024,esther.kariuki266@gmail.com,+25478947395,'+25478947395',Yes,Yes,No,No,Never,2026-03-02,19:52:03,2026-03-02 19:52:03,8,None,Yes
36,Sharon,Njeri,Sharon Njeri,500025,sharon.njeri835@gmail.com,+25478874056,'+25478874056',Yes,Yes,No,No,Never,2026-03-02,19:52:03,2026-03-02 19:52:03,8,None,Yes
37,James,Opiyo,James Opiyo,500026,james.opiyo703@gmail.com,+25473202036,'+25473202036',Yes,Yes,No,No,Never,2026-03-02,19:52:03,2026-03-02 19:52:03,8,None,Yes
38,Eric,Odhiambo,Eric Odhiambo,500027,eric.odhiambo358@gmail.com,+25472715922,'+25472715922',Yes,Yes,No,No,Never,2026-03-02,19:52:04,2026-03-02 19:52:04,8,None,Yes
39,Alex,Omondi,Alex Omondi,500028,alex.omondi925@gmail.com,+25475878114,'+25475878114',Yes,Yes,No,No,Never,2026-03-02,19:52:04,2026-03-02 19:52:04,8,None,Yes
40,Alex,Njeri,Alex Njeri,500029,alex.njeri82@gmail.com,+25479043740,'+25479043740',Yes,Yes,No,No,Never,2026-03-02,19:52:04,2026-03-02 19:52:04,8,None,Yes
41,Elizabeth,Wanjiku,Elizabeth Wanjiku,500030,elizabeth.wanjiku385@gmail.com,+25473737268,'+25473737268',Yes,Yes,No,No,Never,2026-03-02,19:52:04,2026-03-02 19:52:04,8,None,Yes
42,Rose,Ouma,Rose Ouma,500031,rose.ouma862@gmail.com,+25476205106,'+25476205106',Yes,Yes,No,No,Never,2026-03-02,19:52:04,2026-03-02 19:52:04,8,None,Yes
43,John,Mutua,John Mutua,500032,john.mutua643@gmail.com,+25472884184,'+25472884184',Yes,Yes,No,No,Never,2026-03-02,19:52:05,2026-03-02 19:52:05,8,None,Yes
44,Eric,Chebet,Eric Chebet,500033,eric.chebet756@gmail.com,+25477600831,'+25477600831',Yes,Yes,No,No,Never,2026-03-02,19:52:05,2026-03-02 19:52:05,8,None,Yes
45,Sharon,Opiyo,Sharon Opiyo,500034,sharon.opiyo798@gmail.com,+25478004081,'+25478004081',Yes,Yes,No,No,Never,2026-03-02,19:52:05,2026-03-02 19:52:05,8,None,Yes
46,James,Wafula,James Wafula,500035,james.wafula756@gmail.com,+25472993151,'+25472993151',Yes,Yes,No,No,Never,2026-03-02,19:52:05,2026-03-02 19:52:05,8,None,Yes
47,Sarah,Mutua,Sarah Mutua,500036,sarah.mutua836@gmail.com,+25477346242,'+25477346242',Yes,Yes,No,No,Never,2026-03-02,19:52:05,2026-03-02 19:52:05,8,None,Yes
48,David,Wekesa,David Wekesa,500037,david.wekesa67@gmail.com,+25477963659,'+25477963659',Yes,Yes,No,No,Never,2026-03-02,19:52:06,2026-03-02 19:52:06,8,None,Yes
49,Lucy,Awuor,Lucy Awuor,500038,lucy.awuor132@gmail.com,+25475744529,'+25475744529',Yes,Yes,No,No,Never,2026-03-02,19:52:06,2026-03-02 19:52:06,8,None,Yes
50,Rose,Njeri,Rose Njeri,500039,rose.njeri789@gmail.com,+25473955165,'+25473955165',Yes,Yes,No,No,Never,2026-03-02,19:52:06,2026-03-02 19:52:06,8,None,Yes
51,Patrick,Odero,Patrick Odero,500040,patrick.odero181@gmail.com,+25475698417,'+25475698417',Yes,Yes,No,No,Never,2026-03-02,19:52:07,2026-03-02 19:52:07,8,None,Yes
52,James,Wanjala,James Wanjala,500041,james.wanjala478@gmail.com,+25474045999,'+25474045999',Yes,Yes,No,No,Never,2026-03-02,19:52:07,2026-03-02 19:52:07,8,None,Yes
53,Michael,Kipchoge,Michael Kipchoge,500042,michael.kipchoge91@gmail.com,+25473185758,'+25473185758',Yes,Yes,No,No,Never,2026-03-02,19:52:07,2026-03-02 19:52:07,8,None,Yes
54,Diana,Muli,Diana Muli,500043,diana.muli929@gmail.com,+25474045283,'+25474045283',Yes,Yes,No,No,Never,2026-03-02,19:52:07,2026-03-02 19:52:07,8,None,Yes
55,Elizabeth,Wanjiku,Elizabeth Wanjiku,500044,elizabeth.wanjiku250@gmail.com,+25472474190,'+25472474190',Yes,Yes,No,No,Never,2026-03-02,19:52:07,2026-03-02 19:52:07,8,None,Yes
56,Caroline,Odero,Caroline Odero,500045,caroline.odero145@gmail.com,+25475625916,'+25475625916',Yes,Yes,No,No,Never,2026-03-02,19:52:08,2026-03-02 19:52:08,8,None,Yes
57,Diana,Ouma,Diana Ouma,500046,diana.ouma719@gmail.com,+25479448521,'+25479448521',Yes,Yes,No,No,Never,2026-03-02,19:52:08,2026-03-02 19:52:08,8,None,Yes
58,Ann,Owuor,Ann Owuor,500047,ann.owuor857@gmail.com,+25473104040,'+25473104040',Yes,Yes,No,No,Never,2026-03-02,19:52:08,2026-03-02 19:52:08,8,None,Yes
59,Diana,Otieno,Diana Otieno,500048,diana.otieno950@gmail.com,+25476136145,'+25476136145',Yes,Yes,No,No,Never,2026-03-02,19:52:08,2026-03-02 19:52:08,8,None,Yes
60,Faith,Wekesa,Faith Wekesa,500049,faith.wekesa558@gmail.com,+25474462550,'+25474462550',Yes,Yes,No,No,Never,2026-03-02,19:52:09,2026-03-02 19:52:09,8,None,Yes
61,Kevin,Otieno,Kevin Otieno,500050,kevin.otieno895@gmail.com,+25475097490,'+25475097490',Yes,Yes,No,No,Never,2026-03-02,19:52:09,2026-03-02 19:52:09,8,None,Yes
62,Michael,Otieno,Michael Otieno,500051,michael.otieno454@gmail.com,+25477155301,'+25477155301',Yes,Yes,No,No,Never,2026-03-02,19:52:09,2026-03-02 19:52:09,8,None,Yes
63,John,Opiyo,John Opiyo,500052,john.opiyo873@gmail.com,+25477740050,'+25477740050',Yes,Yes,No,No,Never,2026-03-02,19:52:09,2026-03-02 19:52:09,8,None,Yes
64,Eric,Ouma,Eric Ouma,500053,eric.ouma36@gmail.com,+25477263545,'+25477263545',Yes,Yes,No,No,Never,2026-03-02,19:52:09,2026-03-02 19:52:09,8,None,Yes
65,Lucy,Ouma,Lucy Ouma,500054,lucy.ouma360@gmail.com,+25474788934,'+25474788934',Yes,Yes,No,No,Never,2026-03-02,19:52:09,2026-03-02 19:52:09,8,None,Yes
66,Patrick,Achieng,Patrick Achieng,500055,patrick.achieng961@gmail.com,+25471313541,'+25471313541',Yes,Yes,No,No,Never,2026-03-02,19:52:10,2026-03-02 19:52:10,8,None,Yes
67,Brian,Chebet,Brian Chebet,500056,brian.chebet709@gmail.com,+25477979023,'+25477979023',Yes,Yes,No,No,Never,2026-03-02,19:52:10,2026-03-02 19:52:10,8,None,Yes
68,Joseph,Opiyo,Joseph Opiyo,500057,joseph.opiyo545@gmail.com,+25476093679,'+25476093679',Yes,Yes,No,No,Never,2026-03-02,19:52:10,2026-03-02 19:52:10,8,None,Yes
69,Patrick,Awuor,Patrick Awuor,500058,patrick.awuor915@gmail.com,+25473835362,'+25473835362',Yes,Yes,No,No,Never,2026-03-02,19:52:10,2026-03-02 19:52:10,8,None,Yes
70,Catherine,Kipchoge,Catherine Kipchoge,500059,catherine.kipchoge557@gmail.com,+25479002046,'+25479002046',Yes,Yes,No,No,Never,2026-03-02,19:52:10,2026-03-02 19:52:10,8,None,Yes
71,Kevin,Awuor,Kevin Awuor,500060,kevin.awuor531@gmail.com,+25476137719,'+25476137719',Yes,Yes,No,No,Never,2026-03-02,19:52:11,2026-03-02 19:52:11,8,None,Yes
72,Alex,Wamalwa,Alex Wamalwa,500061,alex.wamalwa858@gmail.com,+25478109401,'+25478109401',Yes,Yes,No,No,Never,2026-03-02,19:52:11,2026-03-02 19:52:11,8,None,Yes
73,James,Ouma,James Ouma,500062,james.ouma515@gmail.com,+25477537101,'+25477537101',Yes,Yes,No,No,Never,2026-03-02,19:52:12,2026-03-02 19:52:12,8,None,Yes
74,Samuel,Kipchoge,Samuel Kipchoge,500063,samuel.kipchoge982@gmail.com,+25473024123,'+25473024123',Yes,Yes,No,No,Never,2026-03-02,19:52:12,2026-03-02 19:52:12,8,None,Yes
75,Mary,Awuor,Mary Awuor,500064,mary.awuor235@gmail.com,+25478386139,'+25478386139',Yes,Yes,No,No,Never,2026-03-02,19:52:12,2026-03-02 19:52:12,8,None,Yes
76,Brenda,Akinyi,Brenda Akinyi,500065,brenda.akinyi218@gmail.com,+25475860274,'+25475860274',Yes,Yes,No,No,Never,2026-03-02,19:52:12,2026-03-02 19:52:12,8,None,Yes
77,Sarah,Mwangi,Sarah Mwangi,500066,sarah.mwangi818@gmail.com,+25473900831,'+25473900831',Yes,Yes,No,No,Never,2026-03-02,19:52:13,2026-03-02 19:52:13,8,None,Yes
78,Faith,Wanjiku,Faith Wanjiku,500067,faith.wanjiku771@gmail.com,+25475735922,'+25475735922',Yes,Yes,No,No,Never,2026-03-02,19:52:13,2026-03-02 19:52:13,8,None,Yes
79,Diana,Kariuki,Diana Kariuki,500068,diana.kariuki127@gmail.com,+25472396584,'+25472396584',Yes,Yes,No,No,Never,2026-03-02,19:52:13,2026-03-02 19:52:13,8,None,Yes
80,Eric,Kipchoge,Eric Kipchoge,500069,eric.kipchoge26@gmail.com,+25472969920,'+25472969920',Yes,Yes,No,No,Never,2026-03-02,19:52:13,2026-03-02 19:52:13,8,None,Yes
81,Brenda,Owuor,Brenda Owuor,500070,brenda.owuor373@gmail.com,+25477304396,'+25477304396',Yes,Yes,No,No,Never,2026-03-02,19:52:13,2026-03-02 19:52:13,8,None,Yes
82,John,Wafula,John Wafula,500071,john.wafula199@gmail.com,+25471061165,'+25471061165',Yes,Yes,No,No,Never,2026-03-02,19:52:14,2026-03-02 19:52:14,8,None,Yes
83,Patrick,Owuor,Patrick Owuor,500072,patrick.owuor188@gmail.com,+25478597583,'+25478597583',Yes,Yes,No,No,Never,2026-03-02,19:52:14,2026-03-02 19:52:14,8,None,Yes
84,Brenda,Wafula,Brenda Wafula,500073,brenda.wafula326@gmail.com,+25478293204,'+25478293204',Yes,Yes,No,No,Never,2026-03-02,19:52:14,2026-03-02 19:52:14,8,None,Yes
85,Grace,Odero,Grace Odero,500074,grace.odero420@gmail.com,+25479823889,'+25479823889',Yes,Yes,No,No,Never,2026-03-02,19:52:14,2026-03-02 19:52:14,8,None,Yes
86,Eric,Mutua,Eric Mutua,500075,eric.mutua200@gmail.com,+25477483188,'+25477483188',Yes,Yes,No,No,Never,2026-03-02,19:52:15,2026-03-02 19:52:15,8,None,Yes
87,Vincent,Okoth,Vincent Okoth,500076,vincent.okoth109@gmail.com,+25473422021,'+25473422021',Yes,Yes,No,No,Never,2026-03-02,19:52:15,2026-03-02 19:52:15,8,None,Yes
88,Eric,Owuor,Eric Owuor,500077,eric.owuor68@gmail.com,+25471371965,'+25471371965',Yes,Yes,No,No,Never,2026-03-02,19:52:15,2026-03-02 19:52:15,8,None,Yes
89,Lucy,Omondi,Lucy Omondi,500078,lucy.omondi745@gmail.com,+25474949409,'+25474949409',Yes,Yes,No,No,Never,2026-03-02,19:52:15,2026-03-02 19:52:15,8,None,Yes
90,Ann,Mwangi,Ann Mwangi,500079,ann.mwangi905@gmail.com,+25479153210,'+25479153210',Yes,Yes,No,No,Never,2026-03-02,19:52:15,2026-03-02 19:52:15,8,None,Yes
91,Rose,Chebet,Rose Chebet,500080,rose.chebet127@gmail.com,+25478619894,'+25478619894',Yes,Yes,No,No,Never,2026-03-02,19:52:16,2026-03-02 19:52:16,8,None,Yes
92,Vincent,Ouma,Vincent Ouma,500081,vincent.ouma434@gmail.com,+25474426110,'+25474426110',Yes,Yes,No,No,Never,2026-03-02,19:52:16,2026-03-02 19:52:16,8,None,Yes
93,Elizabeth,Mwangi,Elizabeth Mwangi,500082,elizabeth.mwangi761@gmail.com,+25472525516,'+25472525516',Yes,Yes,No,No,Never,2026-03-02,19:52:16,2026-03-02 19:52:16,8,None,Yes
94,Brian,Chebet,Brian Chebet,500083,brian.chebet960@gmail.com,+25472925626,'+25472925626',Yes,Yes,No,No,Never,2026-03-02,19:52:16,2026-03-02 19:52:16,8,None,Yes
95,Joseph,Odero,Joseph Odero,500084,joseph.odero250@gmail.com,+25478247076,'+25478247076',Yes,Yes,No,No,Never,2026-03-02,19:52:16,2026-03-02 19:52:16,8,None,Yes
96,Daniel,Atieno,Daniel Atieno,500085,daniel.atieno385@gmail.com,+25473031307,'+25473031307',Yes,Yes,No,No,Never,2026-03-02,19:52:16,2026-03-02 19:52:16,8,None,Yes
97,Vincent,Onyango,Vincent Onyango,500086,vincent.onyango985@gmail.com,+25479422836,'+25479422836',Yes,Yes,No,No,Never,2026-03-02,19:52:17,2026-03-02 19:52:17,8,None,Yes
98,David,Njeri,David Njeri,500087,david.njeri475@gmail.com,+25473204231,'+25473204231',Yes,Yes,No,No,Never,2026-03-02,19:52:18,2026-03-02 19:52:18,8,None,Yes
99,Caroline,Kariuki,Caroline Kariuki,500088,caroline.kariuki540@gmail.com,+25476663365,'+25476663365',Yes,Yes,No,No,Never,2026-03-02,19:52:18,2026-03-02 19:52:18,8,None,Yes
100,David,Awuor,David Awuor,500089,david.awuor940@gmail.com,+25471449173,'+25471449173',Yes,Yes,No,No,Never,2026-03-02,19:52:18,2026-03-02 19:52:18,8,None,Yes
101,Sarah,Mutua,Sarah Mutua,500090,sarah.mutua301@gmail.com,+25471348544,'+25471348544',Yes,Yes,No,No,Never,2026-03-02,19:52:18,2026-03-02 19:52:18,8,None,Yes
102,Peter,Muli,Peter Muli,500091,peter.muli504@gmail.com,+25474332804,'+25474332804',Yes,Yes,No,No,Never,2026-03-02,19:52:18,2026-03-02 19:52:18,8,None,Yes
103,Eric,Onyango,Eric Onyango,500092,eric.onyango944@gmail.com,+25475269232,'+25475269232',Yes,Yes,No,No,Never,2026-03-02,19:52:18,2026-03-02 19:52:18,8,None,Yes
104,Patrick,Wamalwa,Patrick Wamalwa,500093,patrick.wamalwa288@gmail.com,+25477298712,'+25477298712',Yes,Yes,No,No,Never,2026-03-02,19:52:19,2026-03-02 19:52:19,8,None,Yes
105,Sharon,Onyango,Sharon Onyango,500094,sharon.onyango286@gmail.com,+25471643956,'+25471643956',Yes,Yes,No,No,Never,2026-03-02,19:52:19,2026-03-02 19:52:19,8,None,Yes
106,Vincent,Achieng,Vincent Achieng,500095,vincent.achieng123@gmail.com,+25476325765,'+25476325765',Yes,Yes,No,No,Never,2026-03-02,19:52:19,2026-03-02 19:52:19,8,None,Yes
107,Ann,Omondi,Ann Omondi,500096,ann.omondi571@gmail.com,+25472904643,'+25472904643',Yes,Yes,No,No,Never,2026-03-02,19:52:20,2026-03-02 19:52:20,8,None,Yes
108,Ann,Wanjala,Ann Wanjala,500097,ann.wanjala136@gmail.com,+25478579072,'+25478579072',Yes,Yes,No,No,Never,2026-03-02,19:52:20,2026-03-02 19:52:20,8,None,Yes
109,Diana,Mutua,Diana Mutua,500098,diana.mutua150@gmail.com,+25476023236,'+25476023236',Yes,Yes,No,No,Never,2026-03-02,19:52:20,2026-03-02 19:52:20,8,None,Yes
110,Lucy,Odero,Lucy Odero,500099,lucy.odero84@gmail.com,+25473477475,'+25473477475',Yes,Yes,No,No,Never,2026-03-02,19:52:20,2026-03-02 19:52:20,8,None,Yes
111,Sarah,Atieno,Sarah Atieno,500100,sarah.atieno613@gmail.com,+25473632073,'+25473632073',Yes,Yes,Yes,Yes,Never,2026-03-02,19:52:21,2026-03-02 19:52:21,8,None,Yes
