ID,First Name,Second Name,Account Number,Email,Phone,Active,Verified,Admin,Created
66,Patrick,Achieng,500055,patrick.achieng961@gmail.com,+25471313541,Yes,Yes,No,2026-03-02 19:52
67,Brian,Chebet,500056,brian.chebet709@gmail.com,+25477979023,Yes,Yes,No,2026-03-02 19:52
68,Joseph,Opiyo,500057,joseph.opiyo545@gmail.com,+25476093679,Yes,Yes,No,2026-03-02 19:52
69,Patrick,Awuor,500058,patrick.awuor915@gmail.com,+25473835362,Yes,Yes,No,2026-03-02 19:52
70,Catherine,Kipchoge,500059,catherine.kipchoge557@gmail.com,+25479002046,Yes,Yes,No,2026-03-02 19:52
71,Kevin,Awuor,500060,kevin.awuor531@gmail.com,+25476137719,Yes,Yes,No,2026-03-02 19:52
72,Alex,Wamalwa,500061,alex.wamalwa858@gmail.com,+25478109401,Yes,Yes,No,2026-03-02 19:52
73,James,Ouma,500062,james.ouma515@gmail.com,+25477537101,Yes,Yes,No,2026-03-02 19:52
74,Samuel,Kipchoge,500063,samuel.kipchoge982@gmail.com,+25473024123,Yes,Yes,No,2026-03-02 19:52
75,Mary,Awuor,500064,mary.awuor235@gmail.com,+25478386139,Yes,Yes,No,2026-03-02 19:52
76,Brenda,Akinyi,500065,brenda.akinyi218@gmail.com,+25475860274,Yes,Yes,No,2026-03-02 19:52
77,Sarah,Mwangi,500066,sarah.mwangi818@gmail.com,+25473900831,Yes,Yes,No,2026-03-02 19:52
78,Faith,Wanjiku,500067,faith.wanjiku771@gmail.com,+25475735922,Yes,Yes,No,2026-03-02 19:52
79,Diana,Kariuki,500068,diana.kariuki127@gmail.com,+25472396584,Yes,Yes,No,2026-03-02 19:52
80,Eric,Kipchoge,500069,eric.kipchoge26@gmail.com,+25472969920,Yes,Yes,No,2026-03-02 19:52
81,Brenda,Owuor,500070,brenda.owuor373@gmail.com,+25477304396,Yes,Yes,No,2026-03-02 19:52
82,John,Wafula,500071,john.wafula199@gmail.com,+25471061165,Yes,Yes,No,2026-03-02 19:52
83,Patrick,Owuor,500072,patrick.owuor188@gmail.com,+25478597583,Yes,Yes,No,2026-03-02 19:52
84,Brenda,Wafula,500073,brenda.wafula326@gmail.com,+25478293204,Yes,Yes,No,2026-03-02 19:52
85,Grace,Odero,500074,grace.odero420@gmail.com,+25479823889,Yes,Yes,No,2026-03-02 19:52
86,Eric,Mutua,500075,eric.mutua200@gmail.com,+25477483188,Yes,Yes,No,2026-03-02 19:52
87,Vincent,Okoth,500076,vincent.okoth109@gmail.com,+25473422021,Yes,Yes,No,2026-03-02 19:52
88,Eric,Owuor,500077,eric.owuor68@gmail.com,+25471371965,Yes,Yes,No,2026-03-02 19:52
89,Lucy,Omondi,500078,lucy.omondi745@gmail.com,+25474949409,Yes,Yes,No,2026-03-02 19:52
90,Ann,Mwangi,500079,ann.mwangi905@gmail.com,+25479153210,Yes,Yes,No,2026-03-02 19:52
91,Rose,Chebet,500080,rose.chebet127@gmail.com,+25478619894,Yes,Yes,No,2026-03-02 19:52
92,Vincent,Ouma,500081,vincent.ouma434@gmail.com,+25474426110,Yes,Yes,No,2026-03-02 19:52
93,Elizabeth,Mwangi,500082,elizabeth.mwangi761@gmail.com,+25472525516,Yes,Yes,No,2026-03-02 19:52
94,Brian,Chebet,500083,brian.chebet960@gmail.com,+25472925626,Yes,Yes,No,2026-03-02 19:52
95,Joseph,Odero,500084,joseph.odero250@gmail.com,+25478247076,Yes,Yes,No,2026-03-02 19:52
96,Daniel,Atieno,500085,daniel.atieno385@gmail.com,+25473031307,Yes,Yes,No,2026-03-02 19:52
97,Vincent,Onyango,500086,vincent.onyango985@gmail.com,+25479422836,Yes,Yes,No,2026-03-02 19:52
98,David,Njeri,500087,david.njeri475@gmail.com,+25473204231,Yes,Yes,No,2026-03-02 19:52
99,Caroline,Kariuki,500088,caroline.kariuki540@gmail.com,+25476663365,Yes,Yes,No,2026-03-02 19:52
100,David,Awuor,500089,david.awuor940@gmail.com,+25471449173,Yes,Yes,No,2026-03-02 19:52
101,Sarah,Mutua,500090,sarah.mutua301@gmail.com,+25471348544,Yes,Yes,No,2026-03-02 19:52
102,Peter,Muli,500091,peter.muli504@gmail.com,+25474332804,Yes,Yes,No,2026-03-02 19:52
103,Eric,Onyango,500092,eric.onyango944@gmail.com,+25475269232,Yes,Yes,No,2026-03-02 19:52
104,Patrick,Wamalwa,500093,patrick.wamalwa288@gmail.com,+25477298712,Yes,Yes,No,2026-03-02 19:52
105,Sharon,Onyango,500094,sharon.onyango286@gmail.com,+25471643956,Yes,Yes,No,2026-03-02 19:52
106,Vincent,Achieng,500095,vincent.achieng123@gmail.com,+25476325765,Yes,Yes,No,2026-03-02 19:52
107,Ann,Omondi,500096,ann.omondi571@gmail.com,+25472904643,Yes,Yes,No,2026-03-02 19:52
108,Ann,Wanjala,500097,ann.wanjala136@gmail.com,+25478579072,Yes,Yes,No,2026-03-02 19:52
109,Diana,Mutua,500098,diana.mutua150@gmail.com,+25476023236,Yes,Yes,No,2026-03-02 19:52
110,Lucy,Odero,500099,lucy.odero84@gmail.com,+25473477475,Yes,Yes,No,2026-03-02 19:52
111,Sarah,Atieno,500100,sarah.atieno613@gmail.com,+25473632073,Yes,Yes,Yes,2026-03-02 19:52
